config,f1_macro_mean,f1_macro_std,auc_mean,auc_std,precision_mean,recall_mean
MLP-Profile,0.8035,0.0002,0.8656,0.0013,0.7493,0.9932
SAGE-Profile,0.791,0.0266,0.8679,0.0243,0.762,0.9109
MLP-All,0.753,0.0105,0.8353,0.0082,0.7608,0.8042
SAGE-All,0.6566,0.0142,0.7485,0.0016,0.7445,0.5625
RelSAGE-All,0.7469,0.004,0.8177,0.0011,0.7473,0.8172
RelSAGE-All_business,0.7332,0.0,0.8268,0.0,0.7119,0.8289
RelSAGE-All_entertainment,0.7237,0.0,0.7544,0.0,0.7341,0.8141
RelSAGE-All_politics,0.7773,0.0,0.8546,0.0,0.7025,0.7986
RelSAGE-All_sports,0.6919,0.0,0.7693,0.0,0.8102,0.9067
DomainRelSAGE-All,0.7528,0.0015,0.8336,0.0034,0.7524,0.8214
DomainRelSAGE-All_business,0.7409,0.0,0.8396,0.0,0.7225,0.8224
DomainRelSAGE-All_entertainment,0.717,0.0,0.7789,0.0,0.731,0.8013
DomainRelSAGE-All_politics,0.7691,0.0,0.8618,0.0,0.7333,0.7122
DomainRelSAGE-All_sports,0.681,0.0,0.7835,0.0,0.8018,0.9223
