variant,metric,acc,acc_std,f1_binary,f1_binary_std,mcc,mcc_std,relation,bucket,n_test,f1_macro
BotRGCN,overall,0.8626,0.0023,0.8785,0.003,0.7249,0.0055,,,,
BotRGCN,,0.8313,,0.866,,0.6442,,combined,0,409.0,0.8191
BotRGCN,,0.9,,0.9189,,0.7907,,combined,0.01-0.25,30.0,0.8942
BotRGCN,,0.8932,,0.8854,,0.7963,,combined,0.26-0.50,206.0,0.8927
BotRGCN,,0.8903,,0.9056,,0.7904,,combined,0.51+,538.0,0.8874
BotRGCN,,0.8635,,0.8627,,0.7353,,follow,0,835.0,0.8635
BotRGCN,,0.7778,,0.0,,,,follow,0.01-0.25,9.0,
BotRGCN,,0.8077,,0.8649,,0.5609,,follow,0.26-0.50,26.0,0.7658
BotRGCN,,0.8978,,0.936,,0.709,,follow,0.51+,313.0,0.841
BotRGCN,,0.8752,,0.9131,,0.6959,,following,0,625.0,0.8458
BotRGCN,,0.96,,0.963,,0.9226,,following,0.01-0.25,25.0,0.9597
BotRGCN,,0.9079,,0.875,,0.8151,,following,0.26-0.50,152.0,0.901
BotRGCN,,0.8425,,0.8193,,0.7126,,following,0.51+,381.0,0.8399
GatedBotRGCN-global,overall,0.8629,0.0021,0.8801,0.0024,0.7273,0.0047,,,,
GatedBotRGCN-global,,0.8264,,0.8588,,0.6348,,combined,0,409.0,0.8167
GatedBotRGCN-global,,0.9,,0.9143,,0.7964,,combined,0.01-0.25,30.0,0.8971
GatedBotRGCN-global,,0.8932,,0.8842,,0.7935,,combined,0.26-0.50,206.0,0.8926
GatedBotRGCN-global,,0.8885,,0.9023,,0.7816,,combined,0.51+,538.0,0.8862
GatedBotRGCN-global,,0.8635,,0.8593,,0.7303,,follow,0,835.0,0.8634
GatedBotRGCN-global,,0.8889,,0.0,,,,follow,0.01-0.25,9.0,
GatedBotRGCN-global,,0.8077,,0.8649,,0.5609,,follow,0.26-0.50,26.0,0.7658
GatedBotRGCN-global,,0.885,,0.9271,,0.6688,,follow,0.51+,313.0,0.8272
GatedBotRGCN-global,,0.8688,,0.9072,,0.6841,,following,0,625.0,0.8416
GatedBotRGCN-global,,0.92,,0.9231,,0.8516,,following,0.01-0.25,25.0,0.9199
GatedBotRGCN-global,,0.8947,,0.8519,,0.776,,following,0.26-0.50,152.0,0.8851
GatedBotRGCN-global,,0.853,,0.8272,,0.7233,,following,0.51+,381.0,0.8497
GatedBotRGCN-rel,overall,0.861,0.0031,0.8791,0.0031,0.724,0.007,,,,
GatedBotRGCN-rel,,0.8289,,0.8638,,0.6389,,combined,0,409.0,0.8168
GatedBotRGCN-rel,,0.9,,0.9189,,0.7907,,combined,0.01-0.25,30.0,0.8942
GatedBotRGCN-rel,,0.8835,,0.8763,,0.7799,,combined,0.26-0.50,206.0,0.8831
GatedBotRGCN-rel,,0.8848,,0.901,,0.7794,,combined,0.51+,538.0,0.8816
GatedBotRGCN-rel,,0.8611,,0.8606,,0.7311,,follow,0,835.0,0.8611
GatedBotRGCN-rel,,0.6667,,0.0,,,,follow,0.01-0.25,9.0,
GatedBotRGCN-rel,,0.8077,,0.8649,,0.5609,,follow,0.26-0.50,26.0,0.7658
GatedBotRGCN-rel,,0.8882,,0.9299,,0.6782,,follow,0.51+,313.0,0.8271
GatedBotRGCN-rel,,0.8704,,0.9097,,0.6842,,following,0,625.0,0.8401
GatedBotRGCN-rel,,0.96,,0.963,,0.9226,,following,0.01-0.25,25.0,0.9597
GatedBotRGCN-rel,,0.9013,,0.8673,,0.8037,,following,0.26-0.50,152.0,0.8944
GatedBotRGCN-rel,,0.8373,,0.8144,,0.7047,,following,0.51+,381.0,0.8348
SoftContrastBotRGCN-global,overall,0.8585,0.0042,0.8768,0.0053,0.72,0.0105,,,,
SoftContrastBotRGCN-global,,0.8264,,0.8653,,0.6353,,combined,0,409.0,0.8106
SoftContrastBotRGCN-global,,0.9,,0.9189,,0.7907,,combined,0.01-0.25,30.0,0.8942
SoftContrastBotRGCN-global,,0.8932,,0.8878,,0.803,,combined,0.26-0.50,206.0,0.893
SoftContrastBotRGCN-global,,0.8736,,0.8931,,0.7619,,combined,0.51+,538.0,0.8693
SoftContrastBotRGCN-global,,0.8587,,0.8608,,0.7316,,follow,0,835.0,0.8586
SoftContrastBotRGCN-global,,0.6667,,0.0,,,,follow,0.01-0.25,9.0,
SoftContrastBotRGCN-global,,0.8077,,0.8649,,0.5609,,follow,0.26-0.50,26.0,0.7658
SoftContrastBotRGCN-global,,0.8786,,0.9252,,0.6515,,follow,0.51+,313.0,0.8016
SoftContrastBotRGCN-global,,0.872,,0.9123,,0.6863,,following,0,625.0,0.8378
SoftContrastBotRGCN-global,,0.96,,0.963,,0.9226,,following,0.01-0.25,25.0,0.9597
SoftContrastBotRGCN-global,,0.9145,,0.885,,0.8322,,following,0.26-0.50,152.0,0.9084
SoftContrastBotRGCN-global,,0.8163,,0.7965,,0.6772,,following,0.51+,381.0,0.8145
SoftContrastBotRGCN-rel,overall,0.8605,0.0046,0.8779,0.0043,0.722,0.0097,,,,
SoftContrastBotRGCN-rel,,0.8191,,0.8502,,0.6218,,combined,0,409.0,0.8109
SoftContrastBotRGCN-rel,,0.8667,,0.8889,,0.7222,,combined,0.01-0.25,30.0,0.8611
SoftContrastBotRGCN-rel,,0.8835,,0.871,,0.769,,combined,0.26-0.50,206.0,0.8824
SoftContrastBotRGCN-rel,,0.8959,,0.9082,,0.7954,,combined,0.51+,538.0,0.894
SoftContrastBotRGCN-rel,,0.8611,,0.855,,0.7236,,follow,0,835.0,0.8608
SoftContrastBotRGCN-rel,,0.8889,,0.0,,,,follow,0.01-0.25,9.0,
