config,group,f1_macro,auc,precision,recall,f1_macro_str,auc_str
Baseline-Majority,Baseline,0.3511,0.5,0.541,1.0,,
Baseline-LogReg,Baseline,0.8032,0.8607,0.759,0.9594,,
RF-Profile,RF,0.7995,0.8636,0.7588,0.9484,,
RF-Profile+Tweet,RF,0.8287,0.9018,0.7989,0.925,,
RF-Profile+Tweet+Topology,RF,0.8222,0.8961,0.7914,0.925,,
RF-Profile+Tweet+Topology+NeighbourAttr,RF,0.8251,0.8998,0.7954,0.9234,,
RF-All,RF,0.8259,0.8981,0.7957,0.925,,
RF-All-minus-LabelProp,RF,0.8251,0.8998,0.7954,0.9234,,
MLP-Profile,GNN,0.806,0.8667,0.759,0.9677,0.8060±0.0035,0.8667±0.0012
SAGE-Profile,GNN,0.8144,0.8918,0.7823,0.926,0.8144±0.0012,0.8918±0.0006
MLP-All,GNN,0.8248,0.905,0.8096,0.8922,0.8248±0.0013,0.9050±0.0020
SAGE-All,GNN,0.8202,0.912,0.8112,0.8771,0.8202±0.0045,0.9120±0.0013
RelSAGE-All,GNN,0.8153,0.9037,0.8038,0.8792,0.8153±0.0042,0.9037±0.0011
DomainRelSAGE-All,GNN,0.821,0.9025,0.808,0.8854,0.8210±0.0047,0.9025±0.0010
HeteroSAGE-Profile,GNN,0.8127,0.8894,0.7766,0.936,0.8127±0.0040,0.8894±0.0018
HeteroSAGE-All,GNN,0.8262,0.9125,0.8158,0.8833,0.8262±0.0038,0.9125±0.0008
RGCN-All,GNN,0.8241,0.9071,0.8105,0.8885,0.8241±0.0060,0.9071±0.0006
RGCN-Profile,GNN,0.7993,0.865,0.7648,0.9297,0.7993±0.0012,0.8650±0.0011
RGCN-Profile+Tweet,GNN,0.81,0.8979,0.8034,0.8661,0.8100±0.0038,0.8979±0.0024
RGCN-Topo+Neighbour,GNN,0.7129,0.7866,0.7278,0.7604,0.7129±0.0064,0.7866±0.0061
