config,f1_macro,f1_binary,auc,precision,recall,bot_rate
RF-Profile,0.7995,0.8431,0.8636,0.7588,0.9484,
RF-Profile+Tweet,0.8287,0.8573,0.9018,0.7989,0.925,
RF-Profile+Tweet+Topology,0.8222,0.853,0.8961,0.7914,0.925,
RF-Profile+Tweet+Topology+NeighbourAttr,0.8251,0.8547,0.8998,0.7954,0.9234,
RF-All,0.8259,0.8555,0.8981,0.7957,0.925,
RF-All_business,0.8071,0.8387,0.9009,0.7566,0.9408,0.5188
RF-All_entertainment,0.8094,0.8496,0.8674,0.7869,0.9231,0.5571
RF-All_politics,0.8545,0.835,0.9221,0.7848,0.8921,0.4052
RF-All_sports,0.7676,0.8894,0.8671,0.8458,0.9378,0.7228
RF-All-minus-LabelProp,0.8251,0.8547,0.8998,0.7954,0.9234,
RF-All-minus-LabelProp_business,0.8034,0.8363,0.905,0.7526,0.9408,0.5188
RF-All-minus-LabelProp_entertainment,0.8088,0.8504,0.8705,0.7838,0.9295,0.5571
RF-All-minus-LabelProp_politics,0.8543,0.8339,0.9266,0.7885,0.8849,0.4052
RF-All-minus-LabelProp_sports,0.77,0.8889,0.8638,0.8491,0.9326,0.7228
